Purity (precision)	Completeness (recall)	F1 score	Jaccard index	L1 norm error	Weighted UniFrac error	Method
Metalign	0.8166943059957378	0.8368822353049883	0.8250191883242182	0.7040409434017099	0.5358961973020225	8.810482615358932	Metalign
Bracken_custom	0.6346569620171544	0.9034767414232349	0.7354564707465475	0.5907716845516712	0.49749303820988583	7.789630821128787	Bracken_custom
Bracken_original	0.1872046621849469	0.6072854653695368	0.275933635801199	0.1638168135506877	1.0901202971547108	8.95908163444948	Bracken_original
